round,arm,asset,horizon,regime,reward_lp,val_before,val_after,mean_reward_est,pulls_arm
75,2,BTC,7,high,-0.0001061614602804184,0.01761523075401783,0.01772139221429825,0.020143980303635966,13
76,0,BTC,1,high,5.436781793832779e-05,0.003991633653640747,0.003937265835702419,0.01095791207626462,13
77,1,BTC,3,high,-0.0003086002543568611,0.009546616114675999,0.00985521636903286,0.00801199860870838,13
78,4,ETH,3,high,0.00015613529831171036,0.0049460213631391525,0.004789886064827442,-0.007604456291748924,13
79,3,ETH,1,high,-4.3353065848350525e-06,0.002363224048167467,0.002367559354752302,0.027942091409516125,14
80,5,ETH,7,high,-7.608253508806229e-05,0.007892848923802376,0.007968931458890438,0.021191751251795468,14
81,2,BTC,7,high,-0.0005573686212301254,0.01867615059018135,0.019233519211411476,0.018665312523288388,14
82,0,BTC,1,high,-0.0002886410802602768,0.004409467801451683,0.00469810888171196,0.010154586850798555,14
83,1,BTC,3,high,-0.0003102961927652359,0.010620109736919403,0.010930405929684639,0.007417548980031693,14
84,4,ETH,3,high,-1.6380101442337036e-05,0.00462966738268733,0.004646047484129667,-0.007062450849584168,14
85,3,ETH,1,high,-0.00012268777936697006,0.00222493102774024,0.00234761880710721,0.026071106130257253,15
86,5,ETH,7,high,-5.431473255157471e-06,0.007891437038779259,0.007896868512034416,0.019778605736792094,15
87,2,BTC,7,high,0.00016216188669204712,0.01876639388501644,0.018604231998324394,0.0174317691475153,15
88,0,BTC,1,high,-1.373235136270523e-06,0.004141167737543583,0.0041425409726798534,0.009477522845069567,15
89,1,BTC,3,high,-0.0005239946767687798,0.009817821905016899,0.010341816581785679,0.006888112736244995,15
90,3,ETH,1,high,1.0787276551127434e-05,0.00223081698641181,0.0022200297098606825,0.02444233620190062,16
91,4,ETH,3,high,-0.00024053361266851425,0.0046428292989730835,0.004883362911641598,-0.006607656367123124,15
92,5,ETH,7,high,-7.793866097927094e-05,0.008146662265062332,0.008224600926041603,0.018537571711931385,16
93,2,BTC,7,high,0.0005484148859977722,0.024155814200639725,0.023607399314641953,0.01637655950617045,16
94,0,BTC,1,high,0.0008727614767849445,0.007425876799970865,0.006553115323185921,0.008939725259551778,16
95,1,BTC,3,high,0.0006891274824738503,0.012796551920473576,0.012107424437999725,0.006500676157884298,16
96,3,ETH,1,high,6.746011786162853e-05,0.002249167300760746,0.0021817071828991175,0.023008519961663032,17
97,4,ETH,3,high,-9.49343666434288e-06,0.004619796294718981,0.004629289731383324,-0.00619527118396945,16
98,5,ETH,7,high,-8.860137313604355e-06,0.0078056384809315205,0.007814498618245125,0.017446605132564033,17
99,2,BTC,7,high,6.336532533168793e-05,0.01935548335313797,0.019292118027806282,0.015416959848474054,17
100,0,BTC,1,high,1.96872279047966e-05,0.004447942599654198,0.004428255371749401,0.008415017140043132,17
101,1,BTC,3,high,-0.0006451951339840889,0.0102434316650033,0.010888626798987389,0.006080330787774393,17
102,3,ETH,1,high,-9.802402928471565e-06,0.002167424885556102,0.0021772272884845734,0.02172972427474128,18
103,4,ETH,3,high,4.2244791984558105e-06,0.0045968638733029366,0.004592639394104481,-0.005830594968488985,17
104,5,ETH,7,high,-1.9405502825975418e-05,0.007766027469187975,0.00778543297201395,0.0164762712083757,18
105,2,BTC,7,high,-0.0020382869988679886,0.021071553230285645,0.023109840229153633,0.014447223912510607,18
106,0,BTC,1,high,-0.001286267302930355,0.007074587047100067,0.008360854350030422,0.007876056893211272,18
