round,arm,asset,horizon,reward_lp,val_mse_before,val_mse_after,mean_reward_est,pulls_arm
93,9,ETH,1,-0.0002702020574361086,0.002626103116199374,0.002896305173635483,0.007428987417370081,7
94,12,DOGE,1,8.818204514682293e-05,0.002508041448891163,0.00241985940374434,0.005697846811796937,7
95,13,DOGE,3,-0.00016910536214709282,0.003607884980738163,0.003776990342885256,0.003662481904029846,7
96,8,XRP,7,0.00046831555664539337,0.02856994979083538,0.028101634234189987,0.0028246819440807614,7
97,11,ETH,7,-8.87550413608551e-05,0.010746140033006668,0.010834895074367523,0.0026051394109215054,7
98,14,DOGE,7,-0.0006337594240903854,0.005944448988884687,0.006578208412975073,0.0020073947629758292,7
99,7,XRP,3,-8.833315223455429e-05,0.013745791278779507,0.013834124431014061,-0.0007393702066370418,7
100,2,BTC,7,0.0034826062619686127,0.04115874692797661,0.037676140666007996,-0.004625432725463595,7
101,6,XRP,1,-0.0010970300063490868,0.008404948748648167,0.009501978754997253,-0.006530277031872956,7
102,4,LTC,3,-0.0011707767844200134,0.011694398708641529,0.012865175493061543,-0.006769409403204919,7
103,5,LTC,7,-0.000644829124212265,0.01784190721809864,0.018486736342310905,-0.007337283476122787,7
104,0,BTC,1,0.00038411770947277546,0.003932585474103689,0.0035484677646309137,-0.01640750564235662,7
105,1,BTC,3,-0.0007571829482913017,0.008013593964278698,0.00877077691257,-0.017287390173545903,7
106,3,LTC,1,-0.0001352047547698021,0.010660645551979542,0.010795850306749344,0.016677930776495486,8
107,10,ETH,3,0.00010653771460056305,0.00943845883011818,0.009331921115517616,0.007874319970142096,8
108,9,ETH,1,0.0009984797798097134,0.007526130881160498,0.006527651101350784,0.006625173962675035,8
109,12,DOGE,1,-0.00011008139699697495,0.00784316286444664,0.007953244261443615,0.004971855785697699,8
110,13,DOGE,3,-0.0005543362349271774,0.009034662507474422,0.0095889987424016,0.0031353796366602182,8
111,8,XRP,7,0.0005823075771331787,0.03479199856519699,0.03420969098806381,0.0025443851482123137,8
112,11,ETH,7,0.0006206762045621872,0.010172412730753422,0.009551736526191235,0.0023570815101265907,8
113,14,DOGE,7,0.0007115202024579048,0.010716245509684086,0.010004725307226181,0.0018454104429110887,8
114,7,XRP,3,0.0015434082597494125,0.017451291903853416,0.015907883644104004,-0.00045402289833873505,8
115,2,BTC,7,-0.00369345024228096,0.024832487106323242,0.028525937348604202,-0.004508934915065765,8
116,6,XRP,1,0.000621517188847065,0.008717960678040981,0.008096443489193916,-0.005636302754282953,8
117,4,LTC,3,0.0002686064690351486,0.009988225065171719,0.00971961859613657,-0.0058896574191749105,8
118,5,LTC,7,-0.0003404170274734497,0.014676488004624844,0.015016905032098293,-0.00646267517004162,8
119,0,BTC,1,0.0024718621280044317,0.0063128299079835415,0.0038409677799791098,-0.014047584671061488,8
120,1,BTC,3,0.0010023657232522964,0.008835411630570889,0.007833045907318592,-0.015001170686446129,8
121,3,LTC,1,-0.0004407111555337906,0.007136280182749033,0.0075769913382828236,0.014775859450714456,9
122,10,ETH,3,-0.0004825158976018429,0.00769349979236722,0.008176015689969063,0.0069457826515038805,9
123,9,ETH,1,0.00032516568899154663,0.00624657329171896,0.005921407602727413,0.0059251730433768695,9
124,12,DOGE,1,-4.232069477438927e-05,0.0050824773497879505,0.00512479804456234,0.004414725065645244,9
125,13,DOGE,3,-0.0005602426826953888,0.006276354193687439,0.006836596876382828,0.0027247549345095954,9
126,8,XRP,7,0.0009490363299846649,0.03350067883729935,0.03255164250731468,0.0023671241684092414,9
127,11,ETH,7,0.0006422083824872971,0.00981151219457388,0.009169303812086582,0.0021665400515000024,9
128,14,DOGE,7,0.0005532470531761646,0.007899049669504166,0.007345802616328001,0.0017018367329405416,9
129,7,XRP,3,0.0006018076092004776,0.015206694602966309,0.014604886993765831,-0.00033670839750104474,9
130,2,BTC,7,-0.0009254682809114456,0.025340115651488304,0.02626558393239975,-0.004110771955715286,9
131,6,XRP,1,-0.0003438536077737808,0.008081679232418537,0.008425532840192318,-0.005048252849115267,9
132,4,LTC,3,0.0002644099295139313,0.010131657123565674,0.009867247194051743,-0.005205872158209484,9
133,5,LTC,7,0.0006507681682705879,0.014933946542441845,0.014283178374171257,-0.005672292576895819,9
134,0,BTC,1,0.00032481923699378967,0.006913093850016594,0.006588274613022804,-0.01245065090349979,9
135,1,BTC,3,0.0015770737081766129,0.011965864337980747,0.010388790629804134,-0.013159143531488046,9
136,3,LTC,1,-0.0005516563542187214,0.005178568419069052,0.005730224773287773,0.013243107870221139,10
137,10,ETH,3,-0.0009384844452142715,0.005772370379418135,0.006710854824632406,0.006157355941832065,10
138,9,ETH,1,-0.0014591552317142487,0.0046576764434576035,0.006116831675171852,0.005186740215867758,10
139,12,DOGE,1,-0.002014580648392439,0.005520303267985582,0.007534883916378021,0.0037717944942414756,10
140,13,DOGE,3,-0.0025755474343895912,0.008644751273095608,0.011220298707485199,0.0021947246976196768,10
141,8,XRP,7,-0.003664497286081314,0.03984999284148216,0.04351449012756348,0.0017639620229601858,10
142,11,ETH,7,-0.0014121588319540024,0.022429829463362694,0.023841988295316696,0.0018086701631546019,10
143,14,DOGE,7,0.0013349344953894615,0.01575220748782158,0.014417272992432117,0.0016651465091854336,10
144,7,XRP,3,0.0052494388073682785,0.026836959645152092,0.021587520837783813,0.00022190632298588756,10
145,2,BTC,7,0.0016337335109710693,0.018822647631168365,0.017188914120197296,-0.00353632140904665,10
146,6,XRP,1,0.0034797736443579197,0.01121019572019577,0.007730422075837851,-0.004195450199767949,10
147,4,LTC,3,0.0015785908326506615,0.008996807038784027,0.007418216206133366,-0.004527425859123469,10
148,5,LTC,7,0.0005512731149792671,0.01248643547296524,0.011935162357985973,-0.00504993600770831,10
149,0,BTC,1,-0.0033766282722353935,0.01147373765707016,0.014850365929305553,-0.01154324864037335,10
150,1,BTC,3,-0.001105787232518196,0.02111528441309929,0.022221071645617485,-0.01195380790159106,10
